brand,time,context,detection_type,matched_variant
Majestic RP,771.959,зайти на любой серверов maes потому что...,подлежащие_нормализации,maes
Majestic RP,793.079,поверь это не главная фишка маджестика...,подлежащие_нормализации,маджестик
LitEnergy,4564.4,чего Ладно я делаю глоток L Energy И...,подлежащие_нормализации,l energy
Majestic RP,729.6,Добро пожаловать на magestic RP...,подлежащие_нормализации,magestic
Majestic RP,770.92,Majestic RP Будьте готовы равшик...,прямое_совпадение,
LitEnergy,776.36,баночку Lit Energy пока ты её держишь...,подлежащие_нормализации,lit energy
Алиса,2356.359,Алиса записала Алиса есть у тебя Ну чаме...,прямое_совпадение,
LitEnergy,80.88,именно За регистрацию банок L Energy в...,подлежащие_нормализации,l energy
Сбер,602.64,были встретиться у Сбербанка зачем вы...,подлежащие_нормализации,сбербанк
Сбер,604.839,хотели Сбербанк найти посчитать деньги...,подлежащие_нормализации,сбербанк
Сбер,670.6,быстрее Ну всё произошло в Сбербанке...,подлежащие_нормализации,сбербанк
Сбер,792.68,около сбера зайти внутрь сделать...,подлежащие_нормализации,сбера
Majestic RP,847.36,пользователей недавно на magestic RP...,подлежащие_нормализации,magestic
Majestic RP,906.6,мажестик РП обязательно вводите мой...,подлежащие_нормализации,мажестик
Majestic RP,915.759,дней подписки magestic Premium Играйте и...,подлежащие_нормализации,magestic
Сбер,1085.919,Сбербанке посчитать деньги отдам Мне...,подлежащие_нормализации,сбербанк
LitEnergy,1392.919,бодрящий праздник линер...,подлежащие_нормализации,линер
LitEnergy,1428.24,предоставляю вам дорогие друзья тенер же...,подлежащие_нормализации, тенер 
LitEnergy,1460.279,любым вкусом L Energy все условия чтобы...,подлежащие_нормализации,l energy
Сбер,2410.359,Сбербанке мы напишем сумму и подпишем...,подлежащие_нормализации,сбербанк
Contented,2657.44,на кон не буду ставить но я готов здесь...,подлежащие_нормализации, кон 
LitEnergy,101.56,L Energy и хотелось бы вас искренне...,подлежащие_нормализации,l energy
LitEnergy,227.519,запускал бизнес Le Energy для нас с...,подлежащие_нормализации,energy
LitEnergy,2657.4,на energ это жёстко energ...,подлежащие_нормализации,energ
LitEnergy,2661.92,доске ты голо дома не пол energ почему...,подлежащие_нормализации,energ
LitEnergy,2758.559,фамилия Energy сделай бра бомба же Ну...,подлежащие_нормализации,energy
LitEnergy,2785.599,Ты что сделаем сделаем Давай Lit Energy...,подлежащие_нормализации,lit energy
LitEnergy,2787.92,к доске L Energy там Выйди там Расскажи...,подлежащие_нормализации,l energy
LitEnergy,2790.44,там Т Energy Почему опоздал если ты это...,подлежащие_нормализации,energy
LitEnergy,2814.52,а т Energy Всё молодец молодец всё И...,подлежащие_нормализации,energy
Телеграм,2821.599,месяца одобряется у себя в телеграме я...,подлежащие_нормализации,телеграм
LitEnergy,3195.88,увидеть Наш новый продукт от Energy...,подлежащие_нормализации,energy
LitEnergy,3266.76,персиковый Lit Energy теперь я вам...,подлежащие_нормализации,lit energy
LitEnergy,3271.16,нашей истории Lit Energy и здесь ребята...,подлежащие_нормализации,lit energy
Пятёрочка,3285.68,только в Пятёрочке 1.200 000 пачек прямо...,подлежащие_нормализации,пятёрочке
Majestic RP,457.599,полететь мажестик буквально со всех...,подлежащие_нормализации,мажестик
Majestic RP,470.36,этом мажестик открыли двенадцатый новый...,подлежащие_нормализации,мажестик
Majestic RP,503.479,губернатором на мажестик Вас ждут сотни...,подлежащие_нормализации,мажестик
Majestic RP,528.519,промокод lwin братцы Играйте в magestic...,подлежащие_нормализации,magestic
Avito,1329.2,осталось бра и всё на Авито Ну тут...,подлежащие_нормализации,авито
Bombbar,1539.159,8 лет Моим друзьям из бомбар они сегодня...,подлежащие_нормализации,бомбар
Bombbar,1550.64,годом бомбар становится круче и круче я...,подлежащие_нормализации,бомбар
Bombbar,1568.919,праздника бомбар разыгрывает 8 Тонн Это...,подлежащие_нормализации,бомбар
Махеевъ,21.08,махеев в прошлом ролике Я отдал задание...,подлежащие_нормализации,махеев
LitEnergy,163.0,человек который для компании L Energy...,подлежащие_нормализации,l energy
Majestic RP,412.039,ответ mages RP ма Role - это...,подлежащие_нормализации,mages
Majestic RP,447.28,Проведите жаркие дни на мажестик L И не...,подлежащие_нормализации,мажестик
Mozabrick,852.839,фотоконструктор мозабрик действует...,подлежащие_нормализации,мозабрик
Mozabrick,861.68,я всегда выбираю мозабрик мозабрик есть...,подлежащие_нормализации,мозабрик
Mozabrick,923.0,чёрную пятницу ссылка на мозабрик в...,подлежащие_нормализации,мозабрик
LitEnergy,1709.2,раздватри energ...,подлежащие_нормализации,energ
LitEnergy,100.159,просто бахнул тенер же понял перед...,подлежащие_нормализации, тенер 
Majestic RP,735.68,маджестике и всё что я хочу вам сейчас...,подлежащие_нормализации,маджестик
Majestic RP,742.959,там для тех кто не в теме Majestic...,подлежащие_нормализации,majestic
Majestic RP,788.24,прокачивай своего персонажа в magestic...,подлежащие_нормализации,magestic
Majestic RP,652.16,виртуальном мире Маджестик тут огромный...,подлежащие_нормализации,маджестик
Majestic RP,656.36,тюнинга Совсем скоро мажестик запускает...,подлежащие_нормализации,мажестик
Mozabrick,1717.399,мозабрик с ним можно собрать картину из...,подлежащие_нормализации,мозабрик
Mozabrick,1732.44,мозабрик бывают и разного размера и...,подлежащие_нормализации,мозабрик
Mozabrick,1752.64,нужен оригинальный подарок это мозабрик...,подлежащие_нормализации,мозабрик
Mozabrick,1764.2,ребята от души рекомендую мозабрик...,подлежащие_нормализации,мозабрик
Majestic RP,636.639,вот дорогие друзья Majestic RP дарит...,прямое_совпадение,
Majestic RP,650.959,описании к видео magestic - Это самый...,подлежащие_нормализации,magestic
Дром,1249.6,напомню конечно же на Дроме ламбы не...,подлежащие_нормализации, дроме 
Дром,1255.679,Дроме самые подробные отчёты об истории...,подлежащие_нормализации, дроме 
Телеграм,1956.279,подписываться на меня в Телеграме. У...,подлежащие_нормализации,телеграм
ВКонтакте,942.199,ВКонтакте ещё висят на моей старой...,прямое_совпадение,
Телеграм,1166.2,"Телеграме, когда попыталась поделиться...",подлежащие_нормализации,телеграм
FitStars,1224.6,всё это время стал Fit Stars. Поэтому в...,подлежащие_нормализации,fit stars
FitStars,1232.96,десятиминутную зарядку с Fit Stars....,подлежащие_нормализации,fit stars
FitStars,1237.84,"рецепту и с Fit Stars. Потом работаю,...",подлежащие_нормализации,fit stars
FitStars,1240.4,тут обхожусь без Fit Stars. А вечером...,подлежащие_нормализации,fit stars
FitStars,1244.799,"с кем, с Fit Stars, я растилаю коврик,...",подлежащие_нормализации,fit stars
FitStars,1247.28,"снова открываю Fit Stars, выбираю...",подлежащие_нормализации,fit stars
FitStars,1275.48,Успевайте оформить безлимит с Fit Stars...,подлежащие_нормализации,fit stars
Магнит,1394.919,размеров как будто было магнитом для...,подлежащие_нормализации, магнит
ВКонтакте,4360.44,"была картинка вывешена, что ВК одобрил...",подлежащие_нормализации, вк 
ВКонтакте,4419.719,"А, ну сначала я пыталась через ВК им...",подлежащие_нормализации, вк 
Телеграм,6937.639,"подписывайтесь на наши там телеграмы,...",подлежащие_нормализации,телеграм
Телеграм,2011.519,это рассказывала в Телеграме. Никакой...,подлежащие_нормализации,телеграм
Телеграм,1410.159,"в моём Телеграме. Женщины требовали,...",подлежащие_нормализации,телеграм
ВКонтакте,1809.2,"Spotify, Apple подкасты, ВК музыка,...",подлежащие_нормализации, вк 
Сбер,2385.96,"Знаете, это Сбербанк, да? Служба...",подлежащие_нормализации,сбербанк
Телеграм,3507.48,телеграме вот так что переходите...,подлежащие_нормализации,телеграм
Genotek,197.959,мне сделала компания генотек и честно...,подлежащие_нормализации,генотек
FitStars,1081.039,меня нет спортивной формы то fitstars -...,прямое_совпадение,
FitStars,1086.559,fitstars и он очень меня выручает мне не...,прямое_совпадение,
FitStars,1100.36,fitstars есть огромный выбор тренировок...,прямое_совпадение,
FitStars,1105.2,очень мотивирует проект Les Fit Stars...,подлежащие_нормализации,fit stars
Телеграм,2637.96,телеграме или можно в Инстаграме или в...,подлежащие_нормализации,телеграм
Телеграм,100.159,меня сразу же в телеграме такие А когда...,подлежащие_нормализации,телеграм
Wildberries,140.72,слышала что на wildberry на Озоне на...,подлежащие_нормализации,wildberry
Ozon,140.72,слышала что на wildberry на Озоне на...,подлежащие_нормализации, озоне 
Кавёр,1725.48,замолчать под ковёр короче и психолог...,подлежащие_нормализации, ковёр 
Телеграм,1962.84,телеграме Я прямо залью вот этот кусочек...,подлежащие_нормализации,телеграм
ВКонтакте,2734.68,интернете с Кроли ленту ВКонтакте мне...,прямое_совпадение,
Сбер,3195.04,свещеник спер ную справку...,подлежащие_нормализации, спер 
Телеграм,4343.6,Особенно я вас жду в телеграме Я надеюсь...,подлежащие_нормализации,телеграм
Т-Банк,643.92,"твердил: ""Покупай билеты через Т-банк,...",подлежащие_нормализации,т-банк
Т-Банк,656.36,"даёт. В Тбанке есть фича, называется...",подлежащие_нормализации,тбанк
Т-Банк,704.68,попробуйте кэшбэк дня от ТБНК. У меня...,подлежащие_нормализации,тбнк
Т-Банк,715.839,кэшбком дня в Т-банке каждый день в...,подлежащие_нормализации,т-банк
Алиса,1406.6,"умного дома, Алисы и многого-многого...",подлежащие_нормализации, алисы 
Магнит,587.12,скачал приложение Магнит акции и...,прямое_совпадение,
Магнит,597.24,акции Хит на гриле в Магнит. Покупайте с...,подлежащие_нормализации, магнит
Магнит,599.76,карты Магнит плюс и с приложения Магнит...,прямое_совпадение,
Магнит,616.519,"приложение Магнит акции Доставка будет,...",прямое_совпадение,
Т-Банк,731.24,Можно на Тбанк перевести?...,подлежащие_нормализации,тбанк
Jaguar,4212.719,рекламе Ягуар. Угу. Вот. А меня зовут...,подлежащие_нормализации,ягуар
Samsung,5334.639,Samsung Theall. Я посмотрел его...,прямое_совпадение,
Samsung,5376.8,этот Samsung The Wal. И он собран из...,прямое_совпадение,
Majestic RP,6605.0,там рекламу Маджестика на этой парковке....,подлежащие_нормализации,маджестик
МТС,797.36,MTS Urent. Если у тебя есть подписка...,подлежащие_нормализации,mts
МТС,808.079,"выгоднее, ведь они входят в подписку MTS...",подлежащие_нормализации,mts
МТС,813.48,ещё в MTS Premium входит много всего....,подлежащие_нормализации,mts
МТС,822.839,по карте МТС деньги ты получишь 5%...,прямое_совпадение,
Wibes,1565.279,Такое приложение уже есть. И это Vibes....,подлежащие_нормализации,vibes
Wildberries,1567.559,"Это новая платформа от Wibberies, где...",подлежащие_нормализации,wibberies
Wibes,1604.36,"Скачивай Vipes, снимай обзоры и...",подлежащие_нормализации,vipes
Wibes,1608.279,"посмотрю. Vibes - это соцсеть, где можно...",подлежащие_нормализации,vibes
Т-Банк,2468.119,в путешествиях АТБанка. Получайте...,подлежащие_нормализации,тбанк
Т-Банк,2472.16,25%. Путешествие Т-банка. Море...,подлежащие_нормализации,т-банк
Т-Банк,851.48,кликов с помощью Т-нвестиций. Всё...,подлежащие_нормализации, т-
Т-Банк,855.959,"аналитиков Т-банка, и вам не нужно будет...",подлежащие_нормализации,т-банк
Билайн,1415.24,ошибках. Вот и в Билайне можно вернуть...,подлежащие_нормализации,билайн
Билайн,1434.48,условиях акции и подключиться к Белайну...,подлежащие_нормализации,белайн
Яндекс,1443.799,такое уже есть это Яндекс Браузер каждая...,прямое_совпадение,
Яндекс,1468.48,са крутых фишек Яндекс браузера это...,прямое_совпадение,
Яндекс,1508.6,потом скачивай Яндекс браузер бесплатно...,прямое_совпадение,
Сбер,4389.96,Сбербанк на Ленинградском проспекте...,подлежащие_нормализации,сбербанк
Магнит,615.72,Магнит со всемирно известной...,прямое_совпадение,
Магнит,623.0,магазинах сети магнит с картой magnit...,прямое_совпадение,
Магнит,626.88,приложении магнит или magnit maret...,прямое_совпадение,
Телеграм,1476.159,телеграм Бота Найдёт с озвучкой или...,прямое_совпадение,
Т-Банк,725.399,зависаю в разделе шопинг от Т Банка в...,подлежащие_нормализации, т банка 
Т-Банк,747.04,прилетает кэшбэк рублями от Т банка на...,подлежащие_нормализации, т банка 
Т-Банк,764.32,поддержка в приложение и т банк решат...,подлежащие_нормализации, т банк 
LitEnergy,1116.88,линером потом...,подлежащие_нормализации,линер
Realme,1384.72,realme c75 вас не подведёт благодаря...,прямое_совпадение,
Realme,1393.88,realme c75 и будьте на связи в любых...,прямое_совпадение,
Битрикс24,1888.36,Я даже слыша Битрикс хорошая тема плохая...,подлежащие_нормализации,битрикс
Битрикс24,1898.84,случилось с ftx и Битрикс может ждать та...,подлежащие_нормализации,битрикс
Битрикс24,1912.679,что с ними случилось Ну да Битрикс...,подлежащие_нормализации,битрикс
Битрикс24,1919.48,битриксе как там скандальная...,подлежащие_нормализации,битрикс
Avito,2572.119,не только Ну какие-то на Авито можно...,подлежащие_нормализации,авито
Rox,8315.599,Rox я знаю что это такое то есть тебя не...,прямое_совпадение,
Авто.ру,19.16,машине связавшись с продавцом автору...,подлежащие_нормализации, автору
Магнит,668.12,магнит доставки Особенно это нас...,прямое_совпадение,
Магнит,681.16,кухне удобно кстати приложени магнит...,подлежащие_нормализации, магнит
Магнит,696.44,в магните для завода надо следующее...,подлежащие_нормализации, магнит
Кавёр,787.48,согласен об ковёр об ковёр чтобы тебя...,подлежащие_нормализации, ковёр 
Honor,1306.2,начинается продуктивность Honor...,подлежащие_нормализации,honor
Honor,1378.559,Honor magicbook x16 2025 точно ваш выбор...,прямое_совпадение,
Majestic RP,3578.319,просто народе его звать как мажестик всё...,подлежащие_нормализации,мажестик
Магнит,741.04,магазинов Магнит прекрасная пора подарка...,прямое_совпадение,
Магнит,743.92,покупайте с картой магнит плюс в...,прямое_совпадение,
Магнит,745.44,приложении Магнит акции доставка на...,прямое_совпадение,
Магнит,758.6,Магнит акции доставка по ссылке в...,прямое_совпадение,
Contented,3680.72,нете она кон потому что человек только в...,подлежащие_нормализации, кон 
ВКонтакте,5289.32,нос также друзья эксклюзивно в ВК видео...,подлежащие_нормализации, вк 
Магнит,218.319,сейчас у тебя ОТГ магнит Но типа верёвка...,прямое_совпадение,
Т-Банк,835.279,танк т-34 в аренду на неделю уникальные...,подлежащие_нормализации, т-
Axe,1596.32,галии арикс неправильно акс погоди...,подлежащие_нормализации, акс 
Contented,2866.359,кон я те скажу просто намек тебе вот...,подлежащие_нормализации, кон 
Ozon,3899.279,Озоновый вайб азот не азон Какой фильм...,подлежащие_нормализации, азон 
ВКонтакте,4248.679,в открытую обсуждать не ВК абсолютно...,подлежащие_нормализации, вк 
Магнит,4534.4,напишу Слушай а магниты какие здесь...,подлежащие_нормализации, магнит
PREMIER,171.72,Premьр. Проходите по ссылке в описании...,подлежащие_нормализации,premьр
Перекрёсток,1347.08,перекрёсток по Googleст Street View и...,прямое_совпадение,
Кавёр,311.28,приложении ковёр это приложение для...,подлежащие_нормализации, ковёр 
Кавёр,330.88,помогут найти своих команда ковра...,подлежащие_нормализации,ковра
Кавёр,350.199,пожалуй самое интересное в ковре есть...,подлежащие_нормализации,ковре
Кавёр,372.199,ковре можно найти и подруг которые будут...,подлежащие_нормализации,ковре
Кавёр,387.68,скачивайте ковёр поду или ссылки в...,подлежащие_нормализации, ковёр 
Aviasales,670.16,авиас если приметам вы не...,подлежащие_нормализации,авиас
Кавёр,803.0,панелями где На рсим ковре между...,подлежащие_нормализации,ковре
Flowwow,1243.84,флаувау флаувау...,подлежащие_нормализации,флаувау
Flowwow,1252.28,локальных брендов флава уже работает в...,подлежащие_нормализации,флава
Erborian,787.839,риан призналась Агенту ФБР наедине...,подлежащие_нормализации, риан 
Erborian,2021.279,мной и вот риан слишком задержалась в...,подлежащие_нормализации, риан 
Aviasales,712.32,"AVIAES. Награда достойная, вы сможете...",подлежащие_нормализации,aviaes
Ozon,99.56,Озон похоже черепно-мозговая травма...,подлежащие_нормализации, озон 
Aviasales,1473.76,авиа она была безумной накопительный...,подлежащие_нормализации, авиа 
Bonnie&Slide,159.56,академии Бонни и слайд закончило более...,подлежащие_нормализации,бонни и слайд
Яндекс,165.2,сотрудничают Яндекс Сбербанк СТС белайн...,прямое_совпадение,
Сбер,165.2,сотрудничают Яндекс Сбербанк СТС белайн...,подлежащие_нормализации,сбербанк
Билайн,165.2,сотрудничают Яндекс Сбербанк СТС белайн...,подлежащие_нормализации,белайн
МТС,169.599,Газпромбанк контакте МТС и другие...,прямое_совпадение,
ВКонтакте,183.76,вами презентация для ВКонтакте за...,прямое_совпадение,
Яндекс,195.319,презентации для Loreal Яндекса и других...,подлежащие_нормализации,яндекса
Bonnie&Slide,227.959,Бони Илай дарят бесплатный модуль...,подлежащие_нормализации,бони илай
Flowwow,60.039,находитесь далеко на флаувау например...,подлежащие_нормализации,флаувау
Flowwow,86.0,FL - это maret с огромным выбором подар...,подлежащие_нормализации, fl 
Aviasales,1005.24,авиас летим...,подлежащие_нормализации,авиас
ВКонтакте,2421.359,джеку ВК видео это уб...,подлежащие_нормализации, вк 
ВКонтакте,2443.64,Реальные истории ВК видео тоже всё есть...,подлежащие_нормализации, вк 
ВКонтакте,2450.839,подписки А ещё в приложении ВК видео...,подлежащие_нормализации, вк 
ВКонтакте,2474.8,идёте ВК видео даже можно скачать...,подлежащие_нормализации, вк 
ВКонтакте,2490.839,места приложение ВК видео обеспечивает...,подлежащие_нормализации, вк 
ВКонтакте,2502.28,скачивайте приложение ВК видео и...,подлежащие_нормализации, вк 
Московский институт психологии,109.079,Московский институт психологии мип мип...,прямое_совпадение,
Aviasales,804.519,авиас и смотрите этот выпуск с Бали...,подлежащие_нормализации,авиас
Smart,162.28,психологии Smart предлагает освоить...,прямое_совпадение,
Авто.ру,183.56,данным Lenta.ru средняя заработная плата...,подлежащие_нормализации,a.ru
Smart,196.48,Smart поддерживает абитуриентов и выдаёт...,прямое_совпадение,
Smart,227.959,Smart есть своя собственная платформа...,прямое_совпадение,
Smart,230.56,Smart mental на которой студенты смогут...,прямое_совпадение,
Smart,241.439,выпускника в Smart mental составил...,прямое_совпадение,
Contented,1012.6,постоянными они не могли свести кон с...,подлежащие_нормализации, кон 
Aviasales,1094.32,авиа sales 598 раз или просто купите...,подлежащие_нормализации, авиа 
Магнит,1978.76,друг другу как магнитом продолжила она в...,подлежащие_нормализации, магнит
Яндекс,94.6,"Яндекс Плюс бесплатно, и ты, наконец,...",прямое_совпадение,
Синхронизация,718.56,синхронизация. И это лишь один из курсов...,подлежащие_нормализации,синхронизация
Синхронизация,720.6,синхронизации. У них можно найти...,подлежащие_нормализации,синхронизации
Синхронизация,756.279,удобнее. По этому поводу синхронизация...,подлежащие_нормализации,синхронизация
Яндекс,87.2,свидание от Яндекс книг бот помог бы ему...,прямое_совпадение,
Яндекс,101.119,подписке Яндекс плюс блин классный бот...,прямое_совпадение,
Avito,1229.32,Но не для тех кто знает про Авито авто...,подлежащие_нормализации,авито
Avito,1238.48,найдёте на Авито авто Ведь они...,подлежащие_нормализации,авито
Avito,1241.96,на Авито авто вы с лёгкостью сможете...,подлежащие_нормализации,авито
Нетология,3.28,нетологии и предложили сделать...,подлежащие_нормализации,нетологии
Нетология,96.119,что сотрудничество с нетологии было...,подлежащие_нормализации,нетологии
Яндекс,88.079,сервис Яндекс книги с огромной...,прямое_совпадение,
Яндекс,97.32,слушать на Яндекс станция а для тех книг...,прямое_совпадение,
Яндекс,103.479,пользуетесь подпиской Яндекс книги...,прямое_совпадение,
Профи.ру,1310.44,на онлайн-сервисе profi.ru найти...,подлежащие_нормализации,profi
Телеграм,3789.0,функцию расшифровка в телеграме Вот и Ну...,подлежащие_нормализации,телеграм
Яндекс,87.119,сервис букмейт а стал Яндекс книги...,прямое_совпадение,
Букмейт,87.119,сервис букмейт а стал Яндекс книги...,прямое_совпадение,
Яндекс,100.479,продолжить слушать на Яндекс станции а...,прямое_совпадение,
Яндекс,107.159,теперь Яндекс книги есть по умолчанию в...,прямое_совпадение,
Яндекс,109.759,подписке Яндекс плюс это всё круто но...,прямое_совпадение,
Avito,1264.679,что-нибудь про Авито авто м ни разу в...,подлежащие_нормализации,авито
Avito,1269.44,автомобиль можно на Авито авто это такой...,подлежащие_нормализации,авито
Avito,1277.48,Авито авто появился новый раздел Select...,подлежащие_нормализации,авито
Selectel,1277.48,Авито авто появился новый раздел Select...,подлежащие_нормализации,select
Avito,1303.84,Авито Авито сек - ваш личный помощник в...,подлежащие_нормализации,авито
Нетология,592.079,обучение на курсе нетологии Python...,подлежащие_нормализации,нетологии
Нетология,876.68,сайт нетологии и найди там бесплатный...,подлежащие_нормализации,нетологии
Нетология,2610.599,нетологии Вот смотри дальше ты пойдёшь в...,подлежащие_нормализации,нетологии
Нетология,2616.4,читать информацию на сайте нетологии...,подлежащие_нормализации,нетологии
Нетология,2654.64,работе скидка на курс у нетологии 45% по...,подлежащие_нормализации,нетологии
Букмейт,83.88,пользуюсь букмейт Ну по суди сам...,прямое_совпадение,
Букмейт,85.759,аудиокниги между букмейт и Алисой...,прямое_совпадение,
Букмейт,95.079,ещё в букмейт есть крутая фича...,прямое_совпадение,
Букмейт,114.6,букмейт у вас будут все возможности для...,прямое_совпадение,
Авто.ру,632.44,авторучки И вообще тема секса для него...,подлежащие_нормализации, автору
Синхронизация,956.519,почерпнула из курса от синхронизации...,подлежащие_нормализации,синхронизации
Синхронизация,962.56,от онлайн лектории синхронизации кино...,подлежащие_нормализации,синхронизации
Синхронизация,986.68,синхронизации у них можно найти полезный...,подлежащие_нормализации,синхронизации
Синхронизация,1004.24,другое синхронизация придумала формулу...,прямое_совпадение,
Синхронизация,1011.759,подписка на курс синхронизации по...,подлежащие_нормализации,синхронизации
Синхронизация,1030.039,для наших подписчиков синхронизация...,подлежащие_нормализации,синхронизация
Яндекс,110.88,достаточно подключить Яндекс п с опцией...,прямое_совпадение,
Букмейт,112.52,bookmate А по промокоду прича подписка...,подлежащие_нормализации,bookmate
Нетология,2574.0,нетология Вот и мы им очень благодарны...,прямое_совпадение,
Перекрёсток,31.0,это за перекрёсток такой семи дорог...,прямое_совпадение,
Букмейт,120.28,их можно ещ и слушать в букмейт там...,прямое_совпадение,
Яндекс,140.2,достаточно подключить Яндекс плю с...,прямое_совпадение,
Букмейт,141.72,опцией bookmate А по промокоду притча...,подлежащие_нормализации,bookmate
Bang Bang Education,961.399,bbang education неважно какой у вас опыт...,подлежащие_нормализации,bbang education
ВКонтакте,1321.039,ВКонтакте блин Это очень смешно и очень...,прямое_совпадение,
Магнит,1728.159,магнитофона такая какая-то простая...,подлежащие_нормализации, магнит
Яндекс,135.72,достаточно подключить Яндекс плюс с...,прямое_совпадение,
Букмейт,137.28,опцией bookmate А по промокоду притча...,подлежащие_нормализации,bookmate
Букмейт,139.8,подписка плюс с опцией bookmate 45 дней...,подлежащие_нормализации,bookmate
Синхронизация,1454.52,синхронизации там можно найти кучу...,подлежащие_нормализации,синхронизации
Синхронизация,1468.399,подают материал синхронизация придумала...,прямое_совпадение,
Avito,3045.16,очень красивый завиток в русском языке...,подлежащие_нормализации,авито
Телеграм,145.84,так вот пока что выглядит моя телега....,подлежащие_нормализации,телега
Jaguar,281.6,всегда под рукой Ягуар с моим...,подлежащие_нормализации,ягуар
МТС,401.36,новый тариф от МТС Real. И в нём реально...,прямое_совпадение,
МТС,411.88,к МТС-музыке и даже бесплатный старт на...,подлежащие_нормализации,мтс
Телеграм,470.319,"телеграме расскажутка счёта, потому что...",подлежащие_нормализации,телеграм
Avito,672.48,"боксы Авито. В объявлении писали, что...",подлежащие_нормализации,авито
Сбер,752.56,"за бонусы от Сбера, так сказать, намазал...",подлежащие_нормализации,сбера
Кавёр,855.279,конкретно. Давайте все немножко на ковре...,подлежащие_нормализации,ковре
Телеграм,1057.28,"Телеграме, ни в ДШках, и это вгоняло в...",подлежащие_нормализации,телеграм
